image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
enhanced_1.png,1.png,22.970726059716533,0.8714828491210938,0.05626995489001274,0.12053978443145752,5.494129993402109
enhanced_111.png,111.png,17.55767507518421,0.8898942470550537,0.12446989864110947,0.1307186335325241,6.027388123234319
enhanced_146.png,146.png,22.569814155326796,0.882453978061676,0.06303423643112183,0.1333286315202713,5.529913765165765
enhanced_179.png,179.png,14.528534395088574,0.701038122177124,0.17802967131137848,0.17937025427818298,2.997523622618502
enhanced_22.png,22.png,24.339690000495736,0.8566438555717468,0.04628124088048935,0.21073535084724426,5.097449703973859
enhanced_23.png,23.png,20.901172965187985,0.7919270396232605,0.07341907918453217,0.3225865960121155,5.827107749732983
enhanced_493.png,493.png,14.659188590733061,0.5291882157325745,0.1684829741716385,0.31168562173843384,3.6752942604604826
enhanced_547.png,547.png,15.236475297121356,0.8120151162147522,0.15959586203098297,0.20298242568969727,4.651379945399593
enhanced_55.png,55.png,17.79464121396742,0.8279058933258057,0.11100350320339203,0.2600216865539551,6.184039195571396
enhanced_665.png,665.png,21.271810314673054,0.7763516306877136,0.06856434792280197,0.36294224858283997,5.806835047496927
enhanced_669.png,669.png,21.977718115263983,0.8672947883605957,0.06812915951013565,0.19212526082992554,4.5398910819876335
enhanced_748.png,748.png,25.675583702809504,0.8731846809387207,0.03757871314883232,0.19233332574367523,4.679612201250434
enhanced_778.png,778.png,21.075038590436556,0.7078859210014343,0.07161444425582886,0.2821770906448364,4.4126977299877534
enhanced_780.png,780.png,23.18898741181158,0.7628398537635803,0.053509488701820374,0.20887193083763123,5.165182856981341
enhanced_79.png,79.png,24.566643506243338,0.9036011695861816,0.04337649047374725,0.16725854575634003,7.17497246860547
Average,-,20.554246626270647,0.8035804629325867,0.0882239376505216,0.21851182579994202,5.150894516391238
