image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
enhanced_1.png,1.png,21.28576120882732,0.877152681350708,0.06949490308761597,0.09206859022378922,5.359376983323059
enhanced_111.png,111.png,15.919488130984005,0.8746787905693054,0.1533452421426773,0.1253448724746704,6.1993106873375945
enhanced_146.png,146.png,19.543971674618568,0.8810057044029236,0.09851127117872238,0.10744264721870422,5.714949973091242
enhanced_179.png,179.png,15.735286348292654,0.7358793616294861,0.1538085639476776,0.1381445676088333,3.142560567614208
enhanced_22.png,22.png,26.787679323229106,0.8840808272361755,0.03760356828570366,0.14630253612995148,4.88084907431664
enhanced_23.png,23.png,23.64719861986955,0.83985835313797,0.05623199790716171,0.23237384855747223,5.257875012421743
enhanced_493.png,493.png,15.241872573919121,0.5809595584869385,0.15290243923664093,0.21952757239341736,3.629747157604237
enhanced_547.png,547.png,16.74790663047355,0.8376808762550354,0.1405690610408783,0.13078124821186066,4.631448706307093
enhanced_55.png,55.png,20.425454642548964,0.8757305145263672,0.08537030220031738,0.1593942940235138,6.038547721504718
enhanced_665.png,665.png,25.490271736045234,0.8099522590637207,0.03948013857007027,0.2657848298549652,5.113951772482477
enhanced_669.png,669.png,25.37052173423449,0.88959139585495,0.04206909239292145,0.11990609765052795,4.588380793840936
enhanced_748.png,748.png,26.65027475823907,0.8930031657218933,0.036508187651634216,0.13699328899383545,4.885993169609608
enhanced_778.png,778.png,23.112413033946922,0.7606077194213867,0.05456860363483429,0.21284779906272888,4.372062276445377
enhanced_780.png,780.png,26.6539520494905,0.7877697944641113,0.03504334017634392,0.14772656559944153,5.144684849336763
enhanced_79.png,79.png,27.65493837340353,0.9227513670921326,0.03535594418644905,0.09200310707092285,6.72219967650576
Average,-,22.017799389208175,0.8300468921661377,0.07939084370930989,0.1551094576716423,5.04546256144943
