Epoch,Train_Loss,Val_Loss,Time,recon,ssim,edge,wav,base,illum,col,oe,total
2345,0.02731120401657507,0.10889658983796835,88.13410067558289,0.012155187846787397,0.06030877545231678,0.005358183510280902,0.018664330389106372,0.013024785147491292,0.003513887734534066,0.07312237407218238,1.2800115627628912e-05,0.02731120401657507
2346,0.027507466951110324,0.10923958104103804,87.39836502075195,0.01226180165502258,0.06062056344063556,0.005390538227148965,0.018798369143280338,0.013122584541007632,0.0035522129400022574,0.0735182203657803,1.2561029223853032e-05,0.027507466951110324
2347,0.027583884273762585,0.10735233500599861,87.44241166114807,0.012294700582985018,0.060734665784679474,0.005394515308520955,0.018828357615676083,0.013156163384069185,0.0035744382328063737,0.07428367991672187,1.2787660756897727e-05,0.027583884273762585
2348,0.027820121573253732,0.10872199572622776,87.44772911071777,0.012479348955523283,0.060752475359400766,0.0053836552762105815,0.01898745379456487,0.01333057706351163,0.003555765568248195,0.07445093422944916,1.2658900705117139e-05,0.027820121573253732
2349,0.027463308611854177,0.10682380758225918,87.45660734176636,0.01223569499237127,0.06063440637510331,0.005368915008625291,0.01874734042212367,0.013119239382995446,0.00349107106429998,0.0730479397795728,1.271247237185326e-05,0.027463308611854177
2350,0.027465452913378107,0.10731409583240747,87.44574975967407,0.012225416866818169,0.060643927484262186,0.005368775067866215,0.018728022570492792,0.013072942513361817,0.0035214300093729597,0.07401691155782977,1.2486717999207526e-05,0.027465452913378107
2351,0.02733812676589997,0.10884623788297176,87.48543977737427,0.012167712860572779,0.06037359599207268,0.005365155730778199,0.018680312869245888,0.013046513739057252,0.003488848092736768,0.07315742520645993,1.3217939569244605e-05,0.02733812676589997
2352,0.02746577394484985,0.10807317402213812,87.46934628486633,0.012237347044111764,0.060572896824508414,0.005393797623329475,0.018791585366745463,0.01311537161561065,0.0034874717258374954,0.0733641557181712,1.2044870486905451e-05,0.02746577394484985
2353,0.027126686540661287,0.10916097462177277,87.4781084060669,0.012025813144616416,0.06022737016443346,0.00535692001280726,0.018522451685161374,0.01292339349012883,0.0034875341540309373,0.07266550309589652,1.3392481405432472e-05,0.027126686540661287
2354,0.027553486698841462,0.10640137922018766,87.52892398834229,0.012313828452444468,0.060530300511688485,0.005383983057862545,0.01884751275303911,0.013174549600139994,0.0035245779159356703,0.07330558787970269,1.2470864449976391e-05,0.027553486698841462
2355,0.027512348340976923,0.10804541688412428,87.48143243789673,0.012284753985367105,0.06044334222058781,0.005363564497455344,0.01880484218632833,0.013143047415575043,0.0035396549864061422,0.0738310419389459,1.2457264558446515e-05,0.027512348340976923
2356,0.0275480060028981,0.10797966457903385,87.4595558643341,0.012251901325815525,0.06091062065030708,0.005412352717954849,0.01883738301694393,0.013139694371856138,0.003522413165392507,0.07360229795401702,1.251192441047724e-05,0.0275480060028981
2357,0.027474198154494412,0.10623525641858578,87.43872475624084,0.012211407343933329,0.060824899888429484,0.005383049889818811,0.01876451229279647,0.01309638395600143,0.0034798484039874596,0.0735475979745388,1.2550839853248433e-05,0.027474198154494412
2358,0.027566243329497635,0.10746341291815042,87.43656420707703,0.012315220298764647,0.060513097243230854,0.005367290161809594,0.018830815971386236,0.013179605101525296,0.003549345400657688,0.0739613819226134,1.318791418949926e-05,0.027566243329497635
