Epoch,Train_Loss,Val_Loss,Time,recon,ssim,edge,wav,base,illum,col,oe,total
2132,0.01688456396261851,0.09182200133800507,95.55239129066467,0.009371245391666888,0.019500050279829238,0.0039000369406615694,0.013807329920430978,0.009983103983104228,0.00827366322485937,0.031478633044494525,6.36194033754636e-05,0.01688456396261851
2133,0.016809655084378188,0.0913623920083046,95.1434645652771,0.009335186127573251,0.01932887660132514,0.003892734913776318,0.013782396498653624,0.00996705090213153,0.008243636462009615,0.031218923976023993,6.293960895144816e-05,0.016809655084378188
2134,0.01671784588860141,0.09206708028912544,95.25186085700989,0.009249979572163688,0.019424772527482776,0.0038928809053161077,0.013707023879720105,0.00986732761686047,0.008241009573555655,0.031478277415864994,6.325219203738186e-05,0.01671784588860141
2135,0.016770968317157693,0.09181734278798104,95.28852581977844,0.009313107021152973,0.019292630619472926,0.0038882951283206544,0.013741734565960036,0.009924044933997922,0.008269823541243872,0.031159296445548535,6.323726394821705e-05,0.016770968317157693
2136,0.016650425737930668,0.09194299668073654,95.20676469802856,0.009209940325882699,0.019289332760704887,0.0038840507389977575,0.013658089877830612,0.009849627709223164,0.008249790561902854,0.03148471605446604,6.325132793762913e-05,0.016650425737930668
2137,0.0165549092201723,0.09245687529444695,95.20909118652344,0.009159105813337697,0.01921145545111762,0.003882373618996806,0.013593068872061041,0.00977290001180437,0.00825369308806128,0.030850526541471482,6.348856684025369e-05,0.0165549092201723
2138,0.0166134296109279,0.09148720815777779,95.19134545326233,0.009195476217816273,0.01924324803882175,0.003880708622228768,0.013643696086688174,0.009818932850741677,0.008256043756587637,0.03105214984466632,6.220538440143426e-05,0.0166134296109279
2139,0.016649201243287986,0.09243562906980514,95.21718621253967,0.009214139048837952,0.019316316975487604,0.0038889278228291207,0.01365709190774295,0.009832944768584437,0.008227687096223235,0.031258523219989405,6.265568997108062e-05,0.016649201243287986
2140,0.016624770793649886,0.0912848874926567,95.23750925064087,0.009201491243309445,0.019293113549550375,0.0038821493156461252,0.013639823504620128,0.009830201897356245,0.008227047576672501,0.03095919904609521,6.309092384633569e-05,0.016624770793649886
2141,0.016645964288877116,0.09172788947820663,95.16251158714294,0.00922390379011631,0.019310191737280952,0.0038832400175225403,0.01365902633095781,0.009844185567150514,0.008241092464369205,0.030494952793750498,6.240740169073117e-05,0.016645964288877116
2142,0.016716579848693475,0.09200892359018326,95.19679617881775,0.009277556809700197,0.019272799491882323,0.0038839870334292453,0.013706759508285258,0.009894242787526713,0.008254283590035306,0.03087736415366332,6.243924697188892e-05,0.016716579848693475
2143,0.01685415661997265,0.09273985207080841,95.16219520568848,0.009362164702680377,0.019420112503899467,0.0038940834554119243,0.013783215064969328,0.009980854735606247,0.008260932012150685,0.031196788578397697,6.322315341257538e-05,0.01685415661997265
2144,0.017009456927577656,0.09140260607004165,95.26452136039734,0.009457441276560227,0.01959292385313246,0.003902426662130488,0.013893153222484722,0.010055915564298629,0.008260121759441163,0.0316940851840708,6.290009038259035e-05,0.017009456927577656
2145,0.016729236071308454,0.09179493054747581,95.1015899181366,0.009271043135474126,0.019372986952463787,0.003888917235761053,0.01372167886959182,0.009889156603150897,0.0082394962447385,0.031122328254083793,6.269867285300298e-05,0.016729236071308454
2146,0.01666815514779753,0.09228357672691345,95.29496431350708,0.00922170492510001,0.01937383598751492,0.0038863868871703744,0.013681311319685644,0.00983762713563111,0.008257023317532407,0.03114158026046223,6.315585703879022e-05,0.01666815514779753
2147,0.01663746373107036,0.09215444967150688,95.37606930732727,0.009221222928414742,0.019243603547414143,0.0038827843389784298,0.013650108695858055,0.0098412671395474,0.008260448666082488,0.03069175691654285,6.27697703988872e-05,0.01663746373107036
