image,relative_path,width,height,MUSIQ,LIQE,Q-Align
normal00690.png,normal00690.png,600.0,400.0,72.0042953491211,3.2703423500061035,3.873046875
normal00691.png,normal00691.png,600.0,400.0,72.0042953491211,3.2703423500061035,3.873046875
normal00692.png,normal00692.png,600.0,400.0,73.96432495117188,4.313187599182129,4.19140625
normal00693.png,normal00693.png,600.0,400.0,73.96432495117188,4.313187599182129,4.19140625
normal00694.png,normal00694.png,600.0,400.0,71.2168197631836,4.521694183349609,4.10546875
normal00695.png,normal00695.png,600.0,400.0,71.2168197631836,4.521694183349609,4.10546875
normal00696.png,normal00696.png,600.0,400.0,72.92494201660156,4.656156063079834,4.02734375
normal00697.png,normal00697.png,600.0,400.0,72.92494201660156,4.656156063079834,4.02734375
normal00698.png,normal00698.png,600.0,400.0,65.8417739868164,3.667294979095459,3.7421875
normal00699.png,normal00699.png,600.0,400.0,65.8417739868164,3.667294979095459,3.7421875
normal00700.png,normal00700.png,600.0,400.0,65.8417739868164,3.667294979095459,3.7421875
normal00701.png,normal00701.png,600.0,400.0,65.8417739868164,3.667294979095459,3.7421875
normal00702.png,normal00702.png,600.0,400.0,74.56941986083984,4.016071319580078,4.1796875
normal00703.png,normal00703.png,600.0,400.0,74.56941986083984,4.016071319580078,4.1796875
normal00704.png,normal00704.png,600.0,400.0,74.56941986083984,4.016071319580078,4.1796875
normal00705.png,normal00705.png,600.0,400.0,75.8602066040039,3.855982780456543,4.41796875
normal00706.png,normal00706.png,600.0,400.0,75.8602066040039,3.855982780456543,4.41796875
normal00707.png,normal00707.png,600.0,400.0,75.8602066040039,3.855982780456543,4.41796875
normal00708.png,normal00708.png,600.0,400.0,74.21784973144531,3.2959811687469482,4.3828125
normal00709.png,normal00709.png,600.0,400.0,74.21784973144531,3.2959811687469482,4.3828125
normal00710.png,normal00710.png,600.0,400.0,68.193115234375,3.005974054336548,4.16796875
normal00711.png,normal00711.png,600.0,400.0,68.193115234375,3.005974054336548,4.16796875
normal00712.png,normal00712.png,600.0,400.0,75.51380157470703,2.823106527328491,4.4375
normal00713.png,normal00713.png,600.0,400.0,75.51380157470703,2.823106527328491,4.4375
normal00714.png,normal00714.png,600.0,400.0,71.62887573242188,3.1731221675872803,4.34375
normal00715.png,normal00715.png,600.0,400.0,71.62887573242188,3.1731221675872803,4.34375
normal00716.png,normal00716.png,600.0,400.0,71.9042739868164,2.8842647075653076,4.00390625
normal00717.png,normal00717.png,600.0,400.0,71.9042739868164,2.8842647075653076,4.00390625
normal00718.png,normal00718.png,600.0,400.0,67.98722076416016,3.585665464401245,4.1953125
normal00719.png,normal00719.png,600.0,400.0,67.98722076416016,3.585665464401245,4.1953125
normal00720.png,normal00720.png,600.0,400.0,70.07967376708984,2.6873297691345215,3.9296875
normal00721.png,normal00721.png,600.0,400.0,70.07967376708984,2.6873297691345215,3.9296875
normal00722.png,normal00722.png,600.0,400.0,66.75222778320312,3.533792018890381,4.29296875
normal00723.png,normal00723.png,600.0,400.0,66.75222778320312,3.533792018890381,4.29296875
normal00724.png,normal00724.png,600.0,400.0,53.145240783691406,3.2543327808380127,4.05078125
