image,relative_path,width,height,MUSIQ,LIQE,Q-Align
r00816405t.png,r00816405t.png,384.0,384.0,65.98719024658203,3.5437095165252686,3.380859375
r00869422t.png,r00869422t.png,384.0,384.0,70.2120361328125,3.855044364929199,3.72265625
r00879054t.png,r00879054t.png,384.0,384.0,62.797122955322266,3.526763677597046,3.341796875
r01058910t.png,r01058910t.png,384.0,384.0,72.46411895751953,3.2448861598968506,3.220703125
r01170470t.png,r01170470t.png,384.0,384.0,70.08150482177734,4.7556047439575195,3.978515625
r01474187t.png,r01474187t.png,384.0,384.0,64.18402862548828,3.2766549587249756,2.9609375
r0150031ft.png,r0150031ft.png,384.0,384.0,72.73915100097656,4.21651554107666,3.75
r01559391t.png,r01559391t.png,384.0,384.0,59.81482696533203,3.240311861038208,3.251953125
r02189767t.png,r02189767t.png,384.0,384.0,72.99185943603516,4.158474922180176,4.05078125
r02354285t.png,r02354285t.png,384.0,384.0,66.6575927734375,4.500297546386719,3.115234375
r02508493t.png,r02508493t.png,384.0,384.0,65.01200103759766,3.4498746395111084,3.083984375
r0287344at.png,r0287344at.png,384.0,384.0,61.668922424316406,3.7448079586029053,3.349609375
r02897203t.png,r02897203t.png,384.0,384.0,70.33858489990234,4.110764503479004,3.046875
r03193652t.png,r03193652t.png,384.0,384.0,61.86965560913086,4.590437889099121,3.8125
r0341853dt.png,r0341853dt.png,384.0,384.0,66.46770477294922,3.885608196258545,3.189453125
r0372042dt.png,r0372042dt.png,384.0,384.0,60.74664306640625,2.9263198375701904,2.6484375
r04317453t.png,r04317453t.png,384.0,384.0,71.85250091552734,4.017765045166016,4.0390625
r0465565ct.png,r0465565ct.png,384.0,384.0,71.31298065185547,4.970722675323486,3.94921875
r05243256t.png,r05243256t.png,384.0,384.0,67.16260528564453,4.143093585968018,3.7890625
r05772356t.png,r05772356t.png,384.0,384.0,59.66817855834961,2.5162439346313477,3.005859375
r05839451t.png,r05839451t.png,384.0,384.0,69.53272247314453,3.226196527481079,3.794921875
r0589558at.png,r0589558at.png,384.0,384.0,71.51233673095703,4.845282554626465,3.806640625
r0603031et.png,r0603031et.png,384.0,384.0,58.106807708740234,2.7137298583984375,2.4375
r068812d7t.png,r068812d7t.png,384.0,384.0,64.48101806640625,4.780961036682129,4.046875
r0703243bt.png,r0703243bt.png,384.0,384.0,64.07198333740234,4.798293113708496,3.4296875
r0708431at.png,r0708431at.png,384.0,384.0,72.65396118164062,4.980637550354004,3.4921875
r072421a1t.png,r072421a1t.png,384.0,384.0,71.12691497802734,3.7351694107055664,3.724609375
r072649fdt.png,r072649fdt.png,384.0,384.0,67.99475860595703,3.6937365531921387,3.42578125
r07598392t.png,r07598392t.png,384.0,384.0,67.44100952148438,3.9493727684020996,3.7890625
r0773471dt.png,r0773471dt.png,384.0,384.0,71.19571685791016,4.087850570678711,3.564453125
r077507cat.png,r077507cat.png,384.0,384.0,67.98897552490234,4.640466690063477,3.84765625
r08079988t.png,r08079988t.png,384.0,384.0,62.750953674316406,3.552408456802368,3.41015625
r0809811bt.png,r0809811bt.png,384.0,384.0,68.98372650146484,4.044512748718262,3.986328125
r082626aft.png,r082626aft.png,384.0,384.0,75.7927017211914,4.253111362457275,3.60546875
r084889d5t.png,r084889d5t.png,384.0,384.0,63.83543395996094,3.831418037414551,3.3203125
r08788547t.png,r08788547t.png,384.0,384.0,67.41903686523438,4.386507987976074,3.71484375
r08873591t.png,r08873591t.png,384.0,384.0,64.1180648803711,3.663250684738159,3.04296875
r08996953t.png,r08996953t.png,384.0,384.0,70.7779312133789,4.019955158233643,3.95703125
r0905697bt.png,r0905697bt.png,384.0,384.0,53.63454818725586,2.76758074760437,2.484375
r09245347t.png,r09245347t.png,384.0,384.0,58.47523498535156,4.013704776763916,2.8828125
r09445479t.png,r09445479t.png,384.0,384.0,60.98798751831055,4.977479457855225,3.375
r09670876t.png,r09670876t.png,384.0,384.0,67.86890411376953,4.611663818359375,3.587890625
r096982ddt.png,r096982ddt.png,384.0,384.0,69.5209732055664,3.824561595916748,4.12109375
r097088c1t.png,r097088c1t.png,384.0,384.0,68.09278869628906,4.630657196044922,3.5078125
r097555c4t.png,r097555c4t.png,384.0,384.0,73.85198211669922,3.750380277633667,3.953125
r104153eat.png,r104153eat.png,384.0,384.0,60.87369155883789,2.8238439559936523,3.4140625
r107730b5t.png,r107730b5t.png,384.0,384.0,61.19627380371094,3.707913637161255,3.009765625
r108301e3t.png,r108301e3t.png,384.0,384.0,67.90557098388672,4.013676643371582,3.626953125
r10893508t.png,r10893508t.png,384.0,384.0,66.64350128173828,3.604177474975586,3.3359375
r10940798t.png,r10940798t.png,384.0,384.0,69.2066421508789,3.470219612121582,3.3046875
r113402d4t.png,r113402d4t.png,384.0,384.0,68.15412139892578,4.090821266174316,3.98828125
r1148801et.png,r1148801et.png,384.0,384.0,67.513916015625,4.289579391479492,3.92578125
r116825e2t.png,r116825e2t.png,384.0,384.0,74.09109497070312,3.15354061126709,3.546875
r11850456t.png,r11850456t.png,384.0,384.0,73.16525268554688,4.253036022186279,3.79296875
r12133015t.png,r12133015t.png,384.0,384.0,69.6111068725586,4.8970112800598145,3.810546875
