image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.113661190457876,0.8704751,0.0719950944185257,0.08777833729982376,5.175488773270663
111.png,14.67726574129838,0.85825706,0.17941662669181824,0.11693914234638214,5.566426303312377
146.png,22.560986273761344,0.90301484,0.06631685048341751,0.08865410089492798,6.209546322151512
179.png,15.951202402193992,0.74685055,0.13905562460422516,0.2556244432926178,3.5526079882112236
22.png,29.589699650548454,0.90821916,0.023800453171133995,0.10062544047832489,4.473114186599365
23.png,25.634118738078314,0.8716299,0.04451524093747139,0.15997549891471863,5.1151883985552855
493.png,14.541341272284928,0.5699033,0.15236563980579376,0.1993517428636551,3.795644605035861
547.png,16.68762212951828,0.86942905,0.14094102382659912,0.12427013367414474,4.858989135400942
55.png,20.351235053701426,0.890059,0.08668898046016693,0.11789126694202423,6.251582718603559
665.png,24.553134581347877,0.83291245,0.048388611525297165,0.17935146391391754,5.211721080850556
669.png,27.328528716755773,0.9033584,0.031049048528075218,0.1342545449733734,4.330780005681667
748.png,29.710868692153724,0.9113204,0.023145532235503197,0.08735385537147522,4.772092715982718
778.png,24.389821976100777,0.81252384,0.04705879092216492,0.11856641620397568,4.399083163434875
780.png,28.1530478901228,0.8036544,0.029109898954629898,0.10254097729921341,5.574305138954404
79.png,30.005173614933508,0.93225545,0.025655224919319153,0.06752704828977585,7.506421354504908
Average,23.016514,0.845591,0.073967,0.129380,5.119533
