image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.39148308169448,0.8596882,0.07310327887535095,0.12471473217010498,4.58558918517489
111.png,25.396473379786087,0.91254956,0.03935542702674866,0.09782740473747253,5.275770314102131
146.png,20.90409142073892,0.8617921,0.07976743578910828,0.13250218331813812,5.499193790177534
179.png,16.39012050843584,0.7275353,0.12829925119876862,0.3078030049800873,3.2979877547530743
22.png,26.667675925120115,0.8740347,0.033646780997514725,0.18608532845973969,4.746350994652638
23.png,23.277039476726465,0.83963346,0.058138225227594376,0.22544419765472412,4.3119703977976105
493.png,16.337810255155368,0.61142516,0.1294867992401123,0.18963617086410522,3.276317105763102
547.png,19.76879369785875,0.8532104,0.09628356248140335,0.14387285709381104,4.128135903025397
55.png,22.751713565717072,0.8742315,0.061166662722826004,0.14710897207260132,4.978170857802588
665.png,27.191178391735175,0.8073919,0.033634889870882034,0.21760711073875427,3.9495706977262937
669.png,24.994705250473036,0.8722386,0.04323495924472809,0.15073750913143158,3.984477180481798
748.png,23.306932574608354,0.86776704,0.056173175573349,0.1546332985162735,4.05706866784544
778.png,21.986919295445873,0.7585425,0.06495394557714462,0.17173869907855988,3.1122201690024616
780.png,25.790421486237534,0.77834177,0.0415630005300045,0.12022432684898376,4.485277706667289
79.png,24.140661835811255,0.91001654,0.05535402148962021,0.10848253220319748,6.3251565836506245
Average,22.686401,0.827227,0.066277,0.165228,4.400884
