image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.884940506902645,0.8671746,0.06833136081695557,0.11880021542310715,5.749627420968636
111.png,25.478957598303673,0.91205996,0.0385814793407917,0.10053016990423203,4.621405872518516
146.png,20.979770722878875,0.8663103,0.07563167065382004,0.1635858565568924,5.546225630194312
179.png,16.484896211044703,0.71499056,0.1264680176973343,0.34454619884490967,3.6369715350709044
22.png,28.008222477696705,0.87913173,0.02878998965024948,0.16665738821029663,5.00420533118645
23.png,24.960878650166357,0.83921415,0.04327693581581116,0.22894027829170227,5.049525641686396
493.png,14.905156430739844,0.5944931,0.15105439722537994,0.225382000207901,3.521467596978755
547.png,18.539708912270704,0.8496575,0.11271838843822479,0.1393039971590042,4.463572308455464
55.png,21.284293398075246,0.86664325,0.07373467087745667,0.1648571640253067,5.379249419470971
665.png,23.85644327804964,0.8022151,0.05208403244614601,0.2644417881965637,4.81843111068092
669.png,25.33173953584867,0.87550926,0.0412784069776535,0.15929219126701355,4.670946817102358
748.png,26.19211009925207,0.88217163,0.037039052695035934,0.15531165897846222,4.6015535495096085
778.png,23.28132840332056,0.7525976,0.05468523129820824,0.20018038153648376,3.736214120464678
780.png,25.56577629069008,0.7807599,0.04177580773830414,0.1424027681350708,4.958817622732711
79.png,23.807149062539246,0.9049706,0.05418975278735161,0.10193714499473572,6.071051809041887
Average,22.704091,0.825860,0.066643,0.178411,4.788618
