image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.526816208665572,0.8778677,0.0686761662364006,0.08991020917892456,5.505454513830282
111.png,15.016641218164708,0.8648847,0.17215590178966522,0.11836942285299301,5.879753141292808
146.png,21.7469516226311,0.8995258,0.07550225406885147,0.08773893117904663,5.772688010342245
179.png,16.482234914268076,0.75392824,0.13312184810638428,0.22940853238105774,3.4053679175006275
22.png,29.30199139985563,0.9010835,0.026054324582219124,0.09198203682899475,4.18231373764924
23.png,24.859648641765926,0.8648632,0.0491790734231472,0.16598203778266907,4.9658821456801405
493.png,14.633239668436664,0.6406197,0.1541919857263565,0.19940200448036194,3.7226400921891805
547.png,16.47580245289836,0.844989,0.14563466608524323,0.12657582759857178,4.765299912536045
55.png,20.148024099571774,0.8878014,0.08886530250310898,0.12522529065608978,6.222866081783815
665.png,28.1834922704803,0.83643514,0.028858881443738937,0.18112598359584808,4.932605275950187
669.png,27.59071283558193,0.899447,0.028778718784451485,0.10713464766740799,4.377729083019463
748.png,29.837268685258238,0.9097698,0.022851822897791862,0.08277023583650589,4.33876722645029
778.png,25.222926935870152,0.81198174,0.04235376417636871,0.1120038852095604,3.715326392485569
780.png,29.576652972649562,0.8331814,0.023968080058693886,0.10290810465812683,5.849740589649737
79.png,28.605640293362793,0.92742485,0.03239114210009575,0.07976476848125458,7.281394994608667
Average,23.280536,0.850254,0.072839,0.126687,4.994522
