image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,20.90045645452166,0.87464833,0.07367752492427826,0.08397716283798218,5.257798321653177
111.png,19.059813504690336,0.91414624,0.10592992603778839,0.08800308406352997,5.54770638605616
146.png,24.474564567348867,0.90859413,0.04942243546247482,0.08131902664899826,6.184709929585982
179.png,14.317494398017477,0.7070432,0.17252375185489655,0.2655009627342224,3.414893957111561
22.png,29.547270769948284,0.90686697,0.024856720119714737,0.08557997643947601,4.213477237115142
23.png,24.66688900085761,0.8697613,0.05058378353714943,0.15576981008052826,5.008537166567516
493.png,15.300503761247521,0.60867995,0.1412411630153656,0.18305575847625732,3.426612809890196
547.png,19.508100990606135,0.8980775,0.10081236064434052,0.10670168697834015,4.761020567985173
55.png,20.18206920463269,0.8903082,0.08821297436952591,0.11375416815280914,6.326582877946171
665.png,27.343547047730983,0.83550954,0.03153795748949051,0.17675194144248962,5.489979664907436
669.png,27.401171803266546,0.9055681,0.030871476978063583,0.12752439081668854,4.5339303065170276
748.png,28.21103239046083,0.90724534,0.02973140962421894,0.10008368641138077,4.676812752934512
778.png,24.669652451362726,0.817003,0.04575992748141289,0.11119072139263153,4.2659166479091395
780.png,29.17725700575513,0.82237655,0.0254067350178957,0.0982820987701416,5.569640844857138
79.png,29.132517401602314,0.9306598,0.030061768367886543,0.06813263148069382,7.26423467512793
Average,23.592823,0.853099,0.066709,0.123042,5.062790
