image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.789672940513938,0.87501115,0.06657643616199493,0.08983531594276428,5.507255621216339
111.png,23.78788458023815,0.92525005,0.05977432057261467,0.07812163978815079,5.887580620257992
146.png,21.95543676611234,0.8952784,0.06904744356870651,0.09632476419210434,6.133554266904883
179.png,18.08523692714749,0.77032584,0.10606804490089417,0.2863752543926239,3.5208399931169003
22.png,27.37378311591135,0.8998044,0.03344830870628357,0.12781725823879242,5.047425549561038
23.png,26.21306315260918,0.8649504,0.03956696018576622,0.18349511921405792,5.67070603593016
493.png,14.304662837754865,0.5829386,0.16031411290168762,0.21684935688972473,3.403156202634506
547.png,16.072367892270044,0.84173965,0.15179333090782166,0.13821357488632202,4.68068094469863
55.png,19.264215191852546,0.8793685,0.09920519590377808,0.1284077912569046,6.490836496519946
665.png,27.73368228795631,0.8340911,0.030651425942778587,0.1800186187028885,5.268096976681776
669.png,27.392212950429307,0.89601135,0.029072409495711327,0.13784490525722504,4.709999574798646
748.png,28.731729373572556,0.9077659,0.028269069269299507,0.0980677381157875,4.811302845801393
778.png,24.469911685435264,0.8057224,0.04592222347855568,0.13071060180664062,4.395024191405925
780.png,29.02531567970844,0.83015317,0.025696497410535812,0.11525985598564148,5.749131571581188
79.png,24.86045719486823,0.92021465,0.05127296596765518,0.09684817492961884,7.83135399182031
Average,23.403976,0.848575,0.066445,0.140279,5.273796
