image,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,21.145900975124615,0.87453365,0.07267014682292938,0.0811665952205658,5.396028348984749
111.png,15.913339442916863,0.881211,0.15521325170993805,0.10417474806308746,5.6615834772033296
146.png,22.857755861518147,0.9098921,0.06446095556020737,0.07899907231330872,6.36675013505983
179.png,18.384105550288407,0.78617334,0.1006057858467102,0.2305203378200531,3.233819209765471
22.png,28.08902414955029,0.90322286,0.02920813485980034,0.10783858597278595,4.4508570538941505
23.png,26.50454773514089,0.8727724,0.03879427909851074,0.14449745416641235,4.904831389409131
493.png,14.669927612646717,0.60837203,0.15350055694580078,0.19613517820835114,3.5056557055128432
547.png,16.748390408892796,0.8716834,0.14086903631687164,0.1113893985748291,4.747319786941145
55.png,21.428541926170155,0.8976396,0.07597357779741287,0.1049727350473404,6.335372919809727
665.png,28.41739414140246,0.8397465,0.027943918481469154,0.17310874164104462,5.188949039200079
669.png,27.902701031208125,0.90575075,0.0278462041169405,0.12943615019321442,4.534951072972772
748.png,28.64192483661373,0.90959316,0.02917751483619213,0.09283885359764099,4.568267464533471
778.png,24.557083122372102,0.8189569,0.04620521515607834,0.10063733905553818,3.968026682095751
780.png,27.624473592969238,0.80367726,0.031407248228788376,0.1015099361538887,5.628232839805183
79.png,28.98554104094238,0.9321747,0.031289033591747284,0.07183471322059631,8.132823121382119
Average,23.458043,0.854360,0.068344,0.121937,5.108231
