variant,PSNR,SSIM,MAE,LPIPS,NIQE
full,23.36449830649412,0.8439444303512573,0.0711900070309639,0.1293094088633855,5.07488373183719
woG1,22.679879352019167,0.8065032958984375,0.067335270345211,0.1864616836110751,3.942033461854606
woG2,23.37163312017713,0.8506535291671753,0.0683599337935447,0.1326373820503552,5.336754236065063
woG3,23.22718442498519,0.8445896506309509,0.0707383602857589,0.1315375705560048,4.929985315083263
woG4,23.26308316536648,0.8518868088722229,0.0687781497836113,0.1258621767163276,5.121334025848445
