image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,21.37454742192062,0.8792858123779297,0.07023382186889648,0.08414053916931152,5.6087905615323495
111.png,111.png,19.794010765135216,0.9162086844444275,0.09821709245443344,0.07773319631814957,5.529434327204366
146.png,146.png,20.658116912777057,0.8955368995666504,0.08487822860479355,0.0981498509645462,6.194878372891737
179.png,179.png,16.978115476548517,0.7568790316581726,0.1197948008775711,0.25435879826545715,3.2911168054152107
22.png,22.png,29.600423166983376,0.9092976450920105,0.026122499257326126,0.09593341499567032,4.717009545978968
23.png,23.png,25.527856418441104,0.8697810173034668,0.04537403956055641,0.1611901968717575,5.076303162329339
493.png,493.png,15.557108045026082,0.5846945643424988,0.13524466753005981,0.1898469775915146,3.6189814404473606
547.png,547.png,16.41110885855083,0.8658542633056641,0.14668403565883636,0.12403720617294312,4.93506501261065
55.png,55.png,20.217654535248386,0.8911706805229187,0.08795468509197235,0.11708734929561615,6.148599445694849
665.png,665.png,27.527685026094638,0.8373910784721375,0.03153473138809204,0.1746641993522644,4.9483157236476
669.png,669.png,24.080537419882106,0.9006398320198059,0.052966900169849396,0.13918355107307434,4.832370658667679
748.png,748.png,28.810906608162416,0.9117242693901062,0.028711507096886635,0.09227844327688217,4.675769812206774
778.png,778.png,24.368579314787794,0.819746196269989,0.04797787964344025,0.10620947182178497,4.118293782808269
780.png,780.png,28.56017575572423,0.8077705502510071,0.027799224480986595,0.10338399559259415,5.157873633854289
79.png,79.png,29.479421755214823,0.932322084903717,0.028178110718727112,0.06973545998334885,7.967208102437233
Average,-,23.26308316536648,0.8518868088722229,0.0687781497836113,0.12586217671632766,5.121334025848445
