Loss_Variant,Epoch,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,Time,recon,ssim,edge,wav,base,illum,col,oe,total
woG3,1,0.1824023657646335,0.189298890531063,17.00158971150716,0.7081897020339966,92.52551460266112,0.1226973344006987,0.2920917839300437,0.0155218814759225,0.1175279843269801,0.0,0.0,0.2856462039664143,5.811567112828853e-07,0.1824023657646335
woG3,2,0.151763807737925,,,,91.70844006538393,0.1024739837548771,0.2371953530389754,0.0134261209349773,0.1004912201009812,0.0,0.0,0.2499955678816701,6.024382862864573e-07,0.151763807737925
woG3,3,0.1476534355859287,,,,91.7485625743866,0.1002459388043059,0.227174589379889,0.0129130516376834,0.0986324706893475,0.0,0.0,0.2397523160840644,1.1384544498693345e-06,0.1476534355859287
woG3,4,0.1416579027522782,,,,91.73239517211914,0.0960770715028047,0.2180776913635066,0.0125275104779933,0.0948125520934824,0.0,0.0,0.2328891899497782,1.1819893057889385e-06,0.1416579027522782
woG3,5,0.1408857758782926,0.1447910256683826,19.42253189086914,0.7673182805379232,91.59292888641356,0.0960044594267841,0.2131628394126892,0.0122639680449224,0.0946428363257255,0.0,0.0,0.236112507396057,1.468903633605358e-06,0.1408857758782926
woG3,6,0.1348281622421546,,,,91.64589238166808,0.0916120275000079,0.2050003712294531,0.0118877374124331,0.0907989922971999,0.0,0.0,0.2303878261906201,1.6211452613788929e-06,0.1348281622421546
woG3,7,0.129393847811906,,,,91.5998466014862,0.0875632234039853,0.1981885408768888,0.0116442083113933,0.0873065176801603,0.0,0.0,0.2267797688236002,1.6481052902781312e-06,0.129393847811906
woG3,8,0.1288571821250876,,,,91.66068840026855,0.0874491300372803,0.1954845170505711,0.0114723593721807,0.0871155453143549,0.0,0.0,0.2271246856353322,1.8874923285439915e-06,0.1288571821250876
woG3,9,0.1248001837950261,,,,91.66148805618286,0.0847224724769103,0.1883042576860209,0.0112006362130651,0.0845156889103475,0.0,0.0,0.2255382816322514,1.9123007416083902e-06,0.1248001837950261
woG3,10,0.1228499636664742,0.1312352158129215,20.15788879394531,0.7781815528869629,91.53965210914612,0.0835274944967422,0.1849325900195075,0.0110111597230749,0.0836014508529276,0.0,0.0,0.2171942484183389,2.2109925459959698e-06,0.1228499636664742
woG3,11,0.1200969489138634,,,,91.57175278663637,0.0814559932065303,0.1813234379057024,0.0108987466760407,0.0818317996979248,0.0,0.0,0.217546958659516,2.0025339059258828e-06,0.1200969489138634
woG3,12,0.1208927343126203,,,,91.82280898094176,0.0823111691985462,0.180668972554754,0.0108444040610653,0.0824179242624611,0.0,0.0,0.2172771744796487,2.170779857246967e-06,0.1208927343126203
woG3,13,0.1178063162159724,,,,91.72903108596802,0.0797657081093944,0.1780175273535681,0.0107764976488456,0.080236141951602,0.0,0.0,0.2190120497443637,2.1479393725257338e-06,0.1178063162159724
woG3,14,0.118019449356638,,,,91.64513683319092,0.0803460456491982,0.175867455904601,0.0106381995443132,0.0806038875560291,0.0,0.0,0.215651985074653,2.3946002393503075e-06,0.118019449356638
woG3,15,0.1145614090024447,0.1253814790397882,20.52037353515625,0.7938898245493571,91.67013096809389,0.0777171977230759,0.1713816225528717,0.0105335432501723,0.0784030724316835,0.0,0.0,0.2169012191598532,2.111935071196698e-06,0.1145614090024447
woG3,16,0.1118992928598748,,,,91.79196643829346,0.0755046856452207,0.170150093856405,0.0104681005945704,0.0764257928631344,0.0,0.0,0.2117298823766044,2.6937079018636e-06,0.1118992928598748
woG3,17,0.1124787414293797,,,,91.6070704460144,0.076272971256346,0.1687825805828219,0.0103947959046383,0.0769850513668822,0.0,0.0,0.2104907079798276,2.5044167470628007e-06,0.1124787414293797
woG3,18,0.1121886097749725,,,,91.70349836349487,0.0758997059014977,0.16849833189464,0.0104220479642819,0.076840606289076,0.0,0.0,0.2172888493562331,2.659113188247965e-06,0.1121886097749725
woG3,19,0.1128754541888588,,,,91.7819573879242,0.0766136978798713,0.1685040534519758,0.0103776652068205,0.0772290738818586,0.0,0.0,0.2144453034537737,3.240420324480122e-06,0.1128754541888588
woG3,20,0.1102447127770693,0.1411415543407201,19.597527567545573,0.7915590922037761,91.79030108451845,0.0749272954970842,0.1636995140646324,0.0101973189682256,0.0757488743631077,0.0,0.0,0.209634249755105,2.9184987637775245e-06,0.1102447127770693
woG3,21,0.1085024422920141,,,,91.72668719291688,0.0734379481463158,0.1632649473479536,0.0101734902557046,0.07469302825019,0.0,0.0,0.204529689350089,4.138094070274863e-06,0.1085024422920141
woG3,22,0.1085286974357288,,,,91.7518436908722,0.0735249422551667,0.1622155401550355,0.0101521699154963,0.0747954019146864,0.0,0.0,0.2090077463720665,2.7447463998812167e-06,0.1085286974357288
woG3,23,0.1068363345426614,,,,91.78022122383118,0.072157275267556,0.1611728736611663,0.0100999876711761,0.0733574287446796,0.0,0.0,0.2064752921339918,2.8889218967134108e-06,0.1068363345426614
woG3,24,0.1050518990540113,,,,91.71840739250185,0.0708195448043893,0.1588301556032212,0.0100915237276463,0.0723566706063317,0.0,0.0,0.2057345419145021,3.0741712129985785e-06,0.1050518990540113
woG3,25,0.1034982164741539,0.1180203445255756,21.117390187581385,0.801294740041097,91.64516592025755,0.0697285490202122,0.1568732535252805,0.0099439532419697,0.071296522271682,0.0,0.0,0.2018863335251808,3.328957808247179e-06,0.1034982164741539
woG3,26,0.1048659524101702,,,,91.67416191101074,0.0708147481877784,0.1582236040811069,0.0099851202265527,0.0722453967347496,0.0,0.0,0.201936702747814,4.075802826151803e-06,0.1048659524101702
woG3,27,0.1025672902154629,,,,91.71905708312988,0.0690992307986636,0.155194518507504,0.0098652505109727,0.0707325110914277,0.0,0.0,0.2018491319212757,3.490056386994577e-06,0.1025672902154629
woG3,28,0.1015310801687787,,,,91.67452597618104,0.0682819242909795,0.1545667037612102,0.0098082181295288,0.0700360182672739,0.0,0.0,0.1985409096738354,4.046636579409719e-06,0.1015310801687787
woG3,29,0.1033427454531192,,,,91.60351943969728,0.0696681584002541,0.1566268293583979,0.0099402257836744,0.0712413872424207,0.0,0.0,0.1992101317546406,3.764642002366477e-06,0.1033427454531192
woG3,30,0.1010570903232351,0.1191216129809618,20.95538330078125,0.8090856711069743,91.4480972290039,0.0679370372204995,0.1531406645892096,0.0098001347266931,0.0696701585147224,0.0,0.0,0.2042647822469961,3.772494456456957e-06,0.1010570903232351
woG3,31,0.1002978414419244,,,,91.59486770629884,0.067221048883483,0.1535821107567334,0.0098510540747007,0.0692201705313608,0.0,0.0,0.2004631824302868,4.548702462358712e-06,0.1002978414419244
woG3,32,0.1023042100008393,,,,91.66649293899536,0.0690753387256724,0.1539859898754808,0.0097919272060399,0.0706566299510295,0.0,0.0,0.1994403441909883,3.896860421912726e-06,0.1023042100008393
woG3,33,0.098832930636699,,,,91.4118766784668,0.0661223916428499,0.1522375643253326,0.009771500576715,0.0682076895762173,0.0,0.0,0.1964831560483721,5.08854567902313e-06,0.098832930636699
woG3,34,0.0970896809804635,,,,91.7998685836792,0.064947094096512,0.1494483459191244,0.0096473875646403,0.0671062683228586,0.0,0.0,0.1937209937538279,4.391941614608141e-06,0.0970896809804635
woG3,35,0.097326956933639,0.1189590878784656,20.881407165527342,0.8060273170471192,91.66814827919006,0.0649859831805844,0.150735148152367,0.0096739210325797,0.0673245641051745,0.0,0.0,0.1930498824622787,4.229302370049881e-06,0.097326956933639
woG3,36,0.0975930714888162,,,,91.74906969070436,0.0653193150723322,0.1503629953157706,0.0097185017380741,0.0674547851391014,0.0,0.0,0.1918477863684052,4.263053950355926e-06,0.0975930714888162
woG3,37,0.0945641440873752,,,,91.39489316940308,0.0629765309057519,0.1472473081018104,0.0095591169751447,0.0653143847269601,0.0,0.0,0.1898681256370466,4.723460543471039e-06,0.0945641440873752
woG3,38,0.0958164979505245,,,,91.75923490524292,0.0640434760325512,0.1480660399452584,0.0095920384914965,0.0662799137110104,0.0,0.0,0.1890534483751312,5.0922535821814665e-06,0.0958164979505245
woG3,39,0.0929889837432591,,,,91.5916793346405,0.0617132470866695,0.1457897952345551,0.0095408038946143,0.0643524569688273,0.0,0.0,0.1890991362514066,4.781331721272641e-06,0.0929889837432591
woG3,40,0.0929368263812827,0.1045378316193819,21.933545939127605,0.8146800359090169,91.61481881141664,0.0617641031772631,0.145718292134707,0.0095458077304981,0.0644138212636357,0.0,0.0,0.1842263322018209,5.690995125130074e-06,0.0929368263812827
woG3,41,0.0945903061293676,,,,92.24823117256165,0.0630413751255293,0.1465707084194558,0.0095597514920852,0.065484952975492,0.0,0.0,0.1923241611020487,5.748160420000008e-06,0.0945903061293676
woG3,42,0.0941256309447229,,,,92.60657835006714,0.0626290972481985,0.146780252456665,0.0095254288085537,0.0651045808965554,0.0,0.0,0.189740523024172,4.746894605771807e-06,0.0941256309447229
woG3,43,0.0921184222412402,,,,91.3490583896637,0.0610112277638228,0.1453633987512745,0.0095120065379887,0.0638690437571924,0.0,0.0,0.1858752118881608,5.628178783516915e-06,0.0921184222412402
woG3,44,0.0920500600802116,,,,91.70191359519958,0.0610892858173026,0.1448083378252435,0.0094991144380669,0.0637586468555888,0.0,0.0,0.183191743480866,4.031224902223407e-06,0.0920500600802116
woG3,45,0.0906716252325988,0.1080309376120567,22.20503845214844,0.8146075089772542,92.09019899368286,0.0600379089229419,0.14322977720714,0.0093958550667176,0.0628988867411848,0.0,0.0,0.1823748676869712,4.847805483238729e-06,0.0906716252325988
woG3,46,0.0919376093527821,,,,91.51429438591003,0.0609352200704275,0.1446874395745699,0.0094736067341548,0.0636734856506351,0.0,0.0,0.1865830290146538,5.444778056989224e-06,0.0919376093527821
woG3,47,0.089856638466237,,,,91.59245562553406,0.05917354636505,0.1437166963444381,0.0094808835658382,0.0623225120552739,0.0,0.0,0.1832844989343744,5.248274465405596e-06,0.089856638466237
woG3,48,0.0879917830289876,,,,91.61645030975342,0.0578441315284762,0.1414600884328123,0.0093447361790315,0.0609664359725401,0.0,0.0,0.1792018026357791,5.000237699182737e-06,0.0879917830289876
