Loss_Variant,Epoch,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,Time,recon,ssim,edge,wav,base,illum,col,oe,total
full,1,0.2197618003873551,0.2242880202829837,16.999483998616537,0.7058164596557617,91.510516166687,0.1228423870367105,0.2943088607709916,0.0156312737629184,0.1177320929824328,0.180179838091135,0.0103864432770575,0.2853029310458996,8.362291651226313e-07,0.2197618003873551
full,2,0.1812202477919273,,,,91.5029661655426,0.1034431547598272,0.2410981791918395,0.0136105698670764,0.1013311643886273,0.1337225329680521,0.012448918379721,0.2542458052029375,7.241631407826344e-07,0.1812202477919273
full,3,0.1697435217191938,,,,91.5401966571808,0.099321735289986,0.2277487936567087,0.0129729383739597,0.0978771828298197,0.1094286158131282,0.0130541521643639,0.2425290252097317,1.109878677061914e-06,0.1697435217191938
full,4,0.1634444370255118,,,,91.48473525047302,0.0963987806414971,0.2206474063826389,0.0126379443805848,0.0951462058869541,0.0999592208593595,0.01266952208625,0.2349766029930505,1.118155612274914e-06,0.1634444370255118
full,5,0.1619897048737182,0.1681781150400638,19.31264190673828,0.7670691808064779,91.52354621887208,0.0962003552217464,0.2161200442275063,0.0123963198609283,0.0949333842049856,0.0967725177341308,0.0123832382673977,0.2405840656796439,1.2839873188435182e-06,0.1619897048737182
full,6,0.1566521836230989,,,,91.43228793144226,0.0930140249308992,0.208815083151958,0.0120550650553625,0.0920154109108643,0.0936414952099811,0.0117761838539946,0.2340751031383139,1.3085753943598469e-06,0.1566521836230989
full,7,0.1508439175296025,,,,91.30928993225098,0.0895800647310546,0.1997473542807532,0.0116813575093191,0.0891068552116878,0.0902163773530819,0.0113457674007923,0.2319091736781792,1.3623987148555014e-06,0.1508439175296025
full,8,0.1506464254782825,,,,91.6178662776947,0.089895953531148,0.19698109587685,0.0115143770932174,0.0893002516116763,0.0901006522481558,0.011197100286601,0.2283828020340106,1.4345151763334106e-06,0.1506464254782825
full,9,0.1463504357904684,,,,91.86212491989136,0.0873473126013748,0.1907136625930911,0.0113548162683356,0.0869707207149658,0.087533530153212,0.0105604858817074,0.225955814001013,1.3395806366680912e-06,0.1463504357904684
full,10,0.1450065720643176,0.1578844338655471,19.97233912150065,0.7782272656758626,91.74968767166138,0.0866324653024556,0.1877740680194292,0.0111358710106645,0.0863040970241437,0.087221178333046,0.0102622198421874,0.2240823837088756,1.4144474018372455e-06,0.1450065720643176
full,11,0.1404197516499972,,,,91.36277389526369,0.0836125789668227,0.1829894395148167,0.0110070666786832,0.0836171971969917,0.0843914940831114,0.0100723067222193,0.2217464962455093,1.3684829726097629e-06,0.1404197516499972
full,12,0.1425246082734866,,,,91.57511377334596,0.0852773897655186,0.1836971552645573,0.0109486796656531,0.0850947957913406,0.0855622104995074,0.0099028304150541,0.2216472231218072,1.419240373316651e-06,0.1425246082734866
