image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,19.739466029380417,0.8496752381324768,0.08509539812803268,0.10410521924495697,5.336144319913369
111.png,111.png,15.089344117479284,0.865125834941864,0.16992077231407166,0.10858703404664993,5.405663531821672
146.png,146.png,22.39717519074409,0.8999781608581543,0.0681111291050911,0.08852972835302353,5.839728340689809
179.png,179.png,19.107045709482072,0.7849050164222717,0.09476441144943237,0.24535222351551056,3.287208926200244
22.png,22.png,29.61305457926594,0.9031577110290527,0.023985115811228752,0.10136732459068298,4.42661923609998
23.png,23.png,24.94452102453081,0.867510974407196,0.04869382083415985,0.15146465599536896,4.76168443264479
493.png,493.png,14.471036167695015,0.5827600359916687,0.15814226865768433,0.19858458638191223,3.3783722515993677
547.png,547.png,18.827416178550333,0.8693831562995911,0.1098455935716629,0.11929026246070862,4.671187731343607
55.png,55.png,18.4829917397874,0.8747225403785706,0.10823093354701996,0.13194580376148224,6.207549915678135
665.png,665.png,28.36290704836506,0.8297362923622131,0.028260238468647003,0.1964482069015503,5.470834221002603
669.png,669.png,27.59085600127811,0.8997991681098938,0.02895699068903923,0.1294032335281372,4.581800398607919
748.png,748.png,28.818598184055688,0.9062336087226868,0.026822935789823532,0.09821369498968124,4.629375096645431
778.png,778.png,23.718067458454865,0.804660975933075,0.05090866610407829,0.11785505712032318,4.010495918807651
780.png,780.png,28.224343899533007,0.8056287169456482,0.029083779081702232,0.09767738729715347,5.042559606248773
79.png,79.png,29.020943046175837,0.925567626953125,0.030253387987613678,0.08423914015293121,6.900555798945608
Average,-,23.22718442498519,0.8445896506309509,0.07073836028575897,0.13153757055600485,4.929985315083263
