image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
1.png,1.png,24.344056656376438,0.9062756896018982,0.04916360601782799,0.06382638961076736,5.509336146633385
111.png,111.png,30.210768448637587,0.9350674152374268,0.02168186381459236,0.06467990577220917,5.140016190033436
146.png,146.png,27.882555257718195,0.9187374114990234,0.029434476047754288,0.07145397365093231,6.10373157130617
179.png,179.png,20.016635871366667,0.8197043538093567,0.08087246119976044,0.23189648985862732,3.5204848597599727
22.png,22.png,30.350334217774968,0.9119121432304382,0.02238592505455017,0.08287756145000458,4.519020094591206
23.png,23.png,28.592855813030546,0.8770759701728821,0.026386220008134842,0.1389036327600479,5.072999246859053
493.png,493.png,21.59647954858841,0.6730548739433289,0.05853266641497612,0.15641404688358307,4.128171571060344
547.png,547.png,26.80285415955869,0.9169679284095764,0.03517467901110649,0.10742153972387314,5.036106938829783
55.png,55.png,26.4333131392318,0.9030940532684326,0.036487702280282974,0.09702637046575546,6.098775271003624
665.png,665.png,28.25940756256802,0.8286334872245789,0.027842648327350616,0.1763196736574173,5.910243891458256
669.png,669.png,28.38982158731313,0.9123585224151611,0.027430826798081398,0.1308470070362091,4.44465665899222
748.png,748.png,28.23762411725626,0.9105033278465271,0.03020639903843403,0.09265942126512527,4.546001512907347
778.png,778.png,25.1041236345519,0.8236730694770813,0.04280663654208183,0.1096193715929985,4.0483316649583205
780.png,780.png,27.164929050090407,0.8029298782348633,0.03164391592144966,0.11592245101928711,5.325789219267007
79.png,79.png,32.44146469288052,0.933323860168457,0.018082141876220703,0.0743914321064949,7.789676583921952
Average,-,27.0551482504629,0.8715541362762451,0.0358754778901736,0.11428395112355551,5.146222761438805
